Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game40.truth,   0.2,   0.0,   0.0,   0.0,   1.1,   0.0,   2.4,  83.0,   5.1,   4.9,   0.0,
results/game41.truth,   0.1,   0.0,   0.0,   0.0,   0.0,   0.0,   2.9,  82.5,   4.9,   5.7,   0.0,
results/game42.truth,   0.1,   0.0,   0.0,   0.0,   0.0,   0.0,   1.8,  84.6,   5.8,   5.0,   0.0,
results/game43.truth,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   2.1,  86.0,   4.4,   3.3,   0.0,
results/game44.truth,   0.1,   0.0,   0.0,   0.0,   0.3,   0.0,   1.4,  84.9,   5.3,   5.3,   0.0,
results/game45.truth,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   2.3,  84.3,   7.1,   3.1,   0.0,
results/game46.truth,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0,   3.0,  82.0,   6.4,   6.0,   0.0,
results/game47.truth,   0.1,   0.0,   0.0,   0.0,   0.0,   0.0,   5.0,  75.8,   7.7,   5.9,   0.0,
results/game48.truth,   0.1,   0.0,   0.0,   0.0,   0.0,   0.0,   4.4,  76.7,   7.5,   6.3,   0.0,

Best Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game00.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game01.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game02.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game03.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game04.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game05.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game06.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game07.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game08.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game09.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game10.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game11.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game12.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game13.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game14.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game15.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game16.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game17.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game18.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game19.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game20.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game21.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game22.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game23.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game24.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game25.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game26.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game27.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game28.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game29.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game30.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game31.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game32.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game33.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game34.truth,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
results/game35.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game36.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game37.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game38.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game39.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game40.truth,     1,     1,     1,     1,     1,     1,     1,     3,     1,     1,     1,
results/game41.truth,     1,     1,     1,     1,     1,     1,     1,     3,     1,     1,     1,
results/game42.truth,     1,     1,     1,     1,     1,     1,     1,     2,     1,     1,     1,
results/game43.truth,     1,     1,     1,     1,     1,     1,     1,     3,     1,     1,     1,
results/game44.truth,     1,     1,     1,     1,     1,     1,     1,     3,     1,     1,     1,
results/game45.truth,     1,     1,     1,     1,     1,     1,     1,     4,     1,     1,     1,
results/game46.truth,     1,     1,     1,     1,     1,     1,     2,     3,     1,     1,     1,
results/game47.truth,     1,     1,     1,     1,     1,     1,     3,     3,     1,     1,     1,
results/game48.truth,     1,     1,     1,     1,     1,     1,     3,     3,     1,     1,     1,

Worst Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game00.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game01.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game02.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,     9,
results/game03.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game04.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game05.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game06.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game07.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game08.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,     9,
results/game09.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game10.truth,    11,    11,    11,    10,    11,    11,    11,    11,    11,    11,     9,
results/game11.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game12.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
results/game13.truth,    11,    11,    11,    10,    11,    11,    11,    11,    11,    11,     9,
results/game14.truth,    11,    11,    11,    10,    11,    11,    11,    11,    11,    11,    10,
results/game15.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,     9,
results/game16.truth,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,     9,
results/game17.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,     9,
results/game18.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,     9,
results/game19.truth,    11,    11,     9,    11,    11,    11,    11,    11,    11,    11,     9,
results/game20.truth,    10,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game21.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,     9,
results/game22.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,     9,
results/game23.truth,    10,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game24.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game25.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game26.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,    10,
results/game27.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,    10,
results/game28.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game29.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,    10,
results/game30.truth,    11,    11,     9,    11,    11,    11,    11,    11,    11,    11,     9,
results/game31.truth,    11,    11,     9,    10,    11,    11,    11,    11,    11,    11,    10,
results/game32.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,    10,
results/game33.truth,    11,    11,    10,    11,    11,    10,    11,    11,    11,    11,    10,
results/game34.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game35.truth,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
results/game36.truth,    11,    11,    10,    10,    11,    10,    11,    11,    11,    11,    10,
results/game37.truth,    11,    11,    10,    10,    11,    11,    11,    11,    11,    11,    10,
results/game38.truth,    11,    11,     9,    10,    11,    10,    11,    11,    11,    11,    10,
results/game39.truth,    11,    10,     9,    10,    11,    10,    11,    11,    11,    11,     9,
results/game40.truth,    11,    10,    10,    10,    11,    10,    11,    11,    11,    11,     9,
results/game41.truth,    11,    10,     9,    10,    10,    10,    11,    11,    11,    11,     8,
results/game42.truth,    11,    10,     9,    10,    10,    10,    11,    11,    11,    11,     8,
results/game43.truth,    10,    10,     8,    10,    10,    10,    11,    11,    11,    11,     8,
results/game44.truth,    11,    10,     8,    10,    11,    10,    11,    11,    11,    11,     8,
results/game45.truth,    10,    10,     9,    10,    10,    10,    11,    11,    11,    11,     8,
results/game46.truth,    11,    10,     9,    10,    10,    10,    11,    11,    11,    11,     8,
results/game47.truth,    11,    10,     9,    10,    10,     9,    11,    11,    11,    11,     7,
results/game48.truth,    11,    10,     8,    10,    10,     9,    11,    11,    11,    11,     8,

Min Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game00.truth,    35,    28,    34,    28,    35,    25,    34,    19,    28,    28,    37,
results/game01.truth,    35,    29,    34,    37,    37,    33,    36,    17,    26,    37,    38,
results/game02.truth,    32,    33,    34,    29,    28,    30,    35,    21,    28,    33,    34,
results/game03.truth,    32,    30,    28,    32,    29,    27,    27,    15,    24,    26,    33,
results/game04.truth,    36,    27,    31,    32,    33,    32,    32,    16,    27,    31,    34,
results/game05.truth,    35,    32,    36,    34,    39,    29,    29,    18,    31,    38,    39,
results/game06.truth,    29,    30,    38,    32,    36,    33,    35,    20,    28,    33,    35,
results/game07.truth,    34,    30,    32,    40,    32,    36,    30,    18,    29,    36,    38,
results/game08.truth,    30,    27,    34,    37,    38,    33,    27,    22,    32,    31,    36,
results/game09.truth,    29,    30,    35,    38,    36,    30,    32,    21,    33,    35,    37,
results/game10.truth,    29,    25,    34,    36,    31,    32,    33,    21,    33,    29,    35,
