Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
Round 1 Game 2: Butler defeats Texas Tech,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 3: Connecticut defeats Colorado,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 4: Iowa State defeats Iona,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 5: Yale defeats Baylor,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 6: Virginia defeats Hampton,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 7: Kansas defeats Austin Peay,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 9: Miami (FL) defeats Buffalo,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 10: Indiana defeats Chattanooga,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 12: Utah defeats Fresno State,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 13: Wichita State defeats Arizona,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 14: Kentucky defeats Stony Brook,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 15: Providence defeats Southern California,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 16: Gonzaga defeats Seton Hall,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 17: Syracuse defeats Dayton,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 18: Villanova defeats North Carolina-Asheville,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 19: Virginia Commonwealth defeats Oregon State,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 20: Hawaii defeats California,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 21: Middle Tennessee defeats Michigan State,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 22: Iowa defeats Temple,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 23: Oklahoma defeats Cal State Bakersfield,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    10,
Round 1 Game 24: Maryland defeats South Dakota State,    11,    11,    10,    11,    11,    11,    11,    11,    11,    11,    11,
Round 1 Game 25: Wisconsin defeats Pittsburgh,    11,    11,    11,    11,    11,    11,    11,    11,    11,    11,    10,
